Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
Phel_clc_contig_10112,15.1900533963794,-1.80477610733661,0.674215814810149,-2.67685222994185,0.0074317404018446,0.0387905119338864,,,,,,,,,,,,,,
Phel_clc_contig_10123,20.4328065270617,-2.14568043677374,0.638744774486734,-3.35921407497683,0.000781644910298829,0.00671658088826839,,,,,,,,,,,,,,
Phel_clc_contig_10131,231.307500797609,-1.52016441844093,0.586586347889019,-2.59154415016924,0.00955462809125241,0.0469305982452411,Phel_clc_contig_10131,sp,Q6GNG8,PKRI1_XENLA,54.7,117,53,0,119,469,8,124,9E-34,132
Phel_clc_contig_10136,49.1031242955202,1.38893042556367,0.451644723047966,3.075272121393,0.00210310572709908,0.0145570483544465,,,,,,,,,,,,,,
Phel_clc_contig_10138,1178.28039425259,-1.34937019667607,0.464430800123671,-2.90542788358728,0.00366751353206288,0.0223964571093571,,,,,,,,,,,,,,
Phel_clc_contig_1014,80.2246235361899,2.33180445770605,0.683319096068154,3.41246786621851,0.000643775164434888,0.00577444508657788,,,,,,,,,,,,,,
Phel_clc_contig_10147,195.691557433358,-1.16289940336233,0.418116580805408,-2.78128028580513,0.00541449675648223,0.0302434593898254,,,,,,,,,,,,,,
Phel_clc_contig_10155,120.120571961726,1.45145215313728,0.465521326501509,3.11790689385866,0.00182140333316599,0.0130386161800442,,,,,,,,,,,,,,
Phel_clc_contig_10156,243.259188802683,-1.65565329721356,0.433984931560965,-3.81500180492092,0.000136181938168741,0.00162994109974754,,,,,,,,,,,,,,
Phel_clc_contig_10157,455.501233255198,-2.08818142850392,0.420741824889723,-4.96309447973526,6.93788111961879E-07,1.87133936732182E-05,,,,,,,,,,,,,,
Phel_clc_contig_10159,332.224805560288,-1.67203512774626,0.362395292468854,-4.61384339833818,3.95290306406979E-06,8.37347542765792E-05,,,,,,,,,,,,,,
Phel_clc_contig_10160,162.783791844849,-1.29088916314837,0.427522223827885,-3.01946680476677,0.0025322004051227,0.0168042781202838,Phel_clc_contig_10160,sp,Q8BZQ7,ANC2_MOUSE,52.81,606,274,6,3547,1745,236,834,0,623
Phel_clc_contig_10161,47.6351621846933,-2.15773415203206,0.684841195116064,-3.15070729888902,0.00162875627432143,0.0119456931736071,Phel_clc_contig_10161,sp,P04176,PH4H_RAT,50.39,129,64,0,686,300,324,452,2E-35,142
Phel_clc_contig_10165,436.964145682954,3.05496851396589,0.503784575739025,6.06403741020539,1.32746256962636E-09,7.30764263109809E-08,,,,,,,,,,,,,,
Phel_clc_contig_10172,49.7433474644439,-2.28411797624344,0.543336728597081,-4.20387184599342,2.62387533940202E-05,0.000419708589761443,Phel_clc_contig_10172,sp,Q7T010,GATB_DANRE,53.15,444,206,2,1,1329,106,548,3E-168,501
Phel_clc_contig_10178,707.172667478864,-2.42278066376334,0.483485094098908,-5.01107623240956,5.41264658658033E-07,1.51417380810621E-05,,,,,,,,,,,,,,
Phel_clc_contig_1019,1738.84547746013,1.61448752985365,0.434226776475754,3.71807455762416,0.000200747027995993,0.00222583291877536,Phel_clc_contig_1019,sp,Q9Y566,SHAN1_HUMAN,38.22,709,356,9,7379,5481,49,751,2E-132,469
Phel_clc_contig_10198,95.4657573863255,1.74468002233037,0.442328184434802,3.94431122348599,8.00296678167034E-05,0.00105217776255941,,,,,,,,,,,,,,
Phel_clc_contig_10208,26.8164334480692,3.45459027443696,0.693845317438867,4.9789055105086,6.39448495947186E-07,1.73972497589562E-05,,,,,,,,,,,,,,
Phel_clc_contig_1021,742.900083689228,2.75975696513473,0.517447391353039,5.33340589063252,9.63875279411674E-08,3.31147443165759E-06,,,,,,,,,,,,,,
Phel_clc_contig_10211,72.4920582372416,-1.0952498244919,0.398680458688873,-2.74718712849335,0.00601088282302437,0.0329356492750523,,,,,,,,,,,,,,
Phel_clc_contig_10213,31.0316941052703,-1.44122386967209,0.509462847723885,-2.82890867530578,0.0046707025046809,0.0270486976486088,Phel_clc_contig_10213,sp,Q13454,TUSC3_HUMAN,68.4,288,91,0,170,1033,55,342,6E-146,423
Phel_clc_contig_10214,270.640039180742,-1.78661350580206,0.365716685440987,-4.88523924919569,1.03303336597958E-06,2.68260954224795E-05,,,,,,,,,,,,,,
Phel_clc_contig_10224,17.3806988879273,2.62709563095115,0.680342643689075,3.86143020038556,0.000112725217777602,0.00139348501319692,,,,,,,,,,,,,,
Phel_clc_contig_1023,175.004216173612,-1.07169867135891,0.348749055718517,-3.0729794211225,0.00211933102184661,0.0146514747373784,,,,,,,,,,,,,,
Phel_clc_contig_10235,238.112541317136,-1.72587492845368,0.421355306608714,-4.0960085262588,4.20334455960616E-05,0.000614412795215102,,,,,,,,,,,,,,
Phel_clc_contig_10244,44.7752503664151,2.51364599027959,0.646462046029639,3.88831178213415,0.000100943905125473,0.00127288805953672,,,,,,,,,,,,,,
Phel_clc_contig_10247,85.3288822029324,1.47619863969763,0.495301279390994,2.98040546455424,0.00287867075187986,0.0186115158810584,,,,,,,,,,,,,,
Phel_clc_contig_10256,29.2145267149575,-1.92436534182707,0.699095349071774,-2.75265075698494,0.00591149216552337,0.0325330789243813,Phel_clc_contig_10256,sp,Q8R151,ZNFX1_MOUSE,45.01,631,320,10,1529,3388,942,1556,2E-135,462
Phel_clc_contig_10261,66.6156047914311,2.22905954392251,0.66837948245982,3.33502090117871,0.000852929881333121,0.00719044164437878,Phel_clc_contig_10261,sp,P17560,RENBP_PIG,53.63,289,129,2,197,1048,13,301,6E-108,328
Phel_clc_contig_10262,73.9322724075151,1.8185059653893,0.520800764994029,3.49174979689238,0.000479867525334969,0.00452855433557968,Phel_clc_contig_10262,sp,Q96QF0,RAB3I_HUMAN,41.95,298,140,6,389,1246,194,470,2E-56,203
Phel_clc_contig_10263,177.285923755183,1.21694192755354,0.415218215297072,2.93084908782931,0.00338036953949215,0.0210387495272789,,,,,,,,,,,,,,
Phel_clc_contig_10267,136.849755672118,2.25623304807271,0.614066250395537,3.67425020772499,0.000238548886533944,0.00255409338203139,,,,,,,,,,,,,,
Phel_clc_contig_1027,4016.16792487876,1.51551545134787,0.366842089052591,4.13124746743713,3.60799909701635E-05,0.000542121300874117,Phel_clc_contig_1027,sp,P23787,TERA_XENLA,86.79,772,100,2,165,2480,5,774,0,1333
Phel_clc_contig_10278,68.0711000354066,-1.19310754452753,0.412738208853464,-2.89071260894851,0.00384369440411693,0.0232088629077323,,,,,,,,,,,,,,
Phel_clc_contig_10279,62.8543782183465,2.04980503122899,0.67074763670853,3.05600037785854,0.00224310973239674,0.0153177464388224,Phel_clc_contig_10279,sp,Q92EK7,Y452_LISIN,41.06,246,143,1,156,887,3,248,1E-49,179
Phel_clc_contig_10294,72.4306646502985,-1.39997769121019,0.533186150904176,-2.62568277296047,0.00864753683462937,0.0435080641329682,,,,,,,,,,,,,,
Phel_clc_contig_10295,260.410487724319,1.48378491782369,0.511614561124818,2.90020071860639,0.00372923772809028,0.022670441945998,Phel_clc_contig_10295,sp,P14316,IRF2_HUMAN,57.5,120,49,1,2496,2137,2,119,2E-40,157
Phel_clc_contig_10304,15.5934750577931,2.42454122598111,0.627568971722575,3.86338607424478,0.000111826058496568,0.00138509816007558,,,,,,,,,,,,,,
Phel_clc_contig_1031,13889.8876200033,-2.26627500217745,0.52155961935588,-4.34518877242889,1.39155941603054E-05,0.000246461797983132,,,,,,,,,,,,,,
Phel_clc_contig_10315,13.611810797304,-2.51799344499308,0.680817029187653,-3.6984877537472,0.000216887812194219,0.00237818686090889,,,,,,,,,,,,,,
Phel_clc_contig_10324,18.8507962577306,2.77942205832731,0.703919999645647,3.94849139067858,7.86452438521925E-05,0.00103542238182184,,,,,,,,,,,,,,
Phel_clc_contig_10332,103.867006380075,0.928638460583996,0.33117839977605,2.80404296056736,0.00504661802366394,0.0286841879845099,Phel_clc_contig_10332,sp,P00125,CY1_BOVIN,67.86,280,90,0,107,946,45,324,3E-126,374
Phel_clc_contig_10336,101.089437898526,1.78928923887008,0.523543823293046,3.4176494101594,0.000631644140010088,0.00568177937122309,,,,,,,,,,,,,,
Phel_clc_contig_10341,14.8154460163738,-3.81946319775331,0.762300896216202,-5.01044038740058,5.43056188203028E-07,1.51468427485902E-05,,,,,,,,,,,,,,
Phel_clc_contig_10344,130.153529971114,1.53916521882487,0.506559651779109,3.03846785550152,0.00237784471261715,0.0160153721459412,Phel_clc_contig_10344,sp,Q8C172,CERS6_MOUSE,48.42,285,147,0,3712,2858,16,300,2E-81,277
Phel_clc_contig_10349,298.698136149793,-2.62193312718652,0.396933004383503,-6.60548026551428,3.96230690104338E-11,3.21544620801482E-09,Phel_clc_contig_10349,sp,P23824,GATA2_CHICK,54.34,311,121,8,5752,4862,77,380,7E-79,276
Phel_clc_contig_10369,209.953578822207,-0.837185946095457,0.320036292126888,-2.61590940368578,0.00889901658736262,0.0444643803848928,Phel_clc_contig_10369,sp,O15091,MRRP3_HUMAN,48.53,204,101,4,3013,2411,376,578,2E-48,187
Phel_clc_contig_10393,14.1909860512802,-2.3236579859512,0.679842113823818,-3.41793769274108,0.000630975498024272,0.00567847786869167,,,,,,,,,,,,,,
Phel_clc_contig_10397,17.4517109623131,2.36980148519439,0.725191406179854,3.26782896901382,0.00108375835570522,0.00868991420905548,,,,,,,,,,,,,,
Phel_clc_contig_10408,151.933802113501,-1.65559099319956,0.469898941707092,-3.52329159794439,0.00042622214502473,0.00410879893721485,,,,,,,,,,,,,,
Phel_clc_contig_10414,82.5945645045225,1.56914237388668,0.53765385872933,2.91849923219213,0.00351720741459104,0.0217262576778267,,,,,,,,,,,,,,
Phel_clc_contig_10438,133.892625953078,-1.07119711441377,0.365359331154606,-2.93190025016902,0.00336894935804101,0.0209815446787423,Phel_clc_contig_10438,sp,A0JP86,LAMC1_XENTR,27.56,606,410,8,3,1787,1003,1590,5E-31,137
Phel_clc_contig_1044,415.387224474673,-1.83402174594992,0.471694547160192,-3.88815549594868,0.000101008910657453,0.00127288805953672,,,,,,,,,,,,,,
Phel_clc_contig_10449,10.9659146872983,-3.1074052619584,0.80087406345842,-3.88001735071763,0.0001044490136853,0.00130548684976678,,,,,,,,,,,,,,
Phel_clc_contig_1045,171.521835975014,1.21541321331107,0.348114472270956,3.49141822625818,0.000480463516226378,0.0045319071242455,,,,,,,,,,,,,,
Phel_clc_contig_10459,103.270269926999,1.38964483818598,0.405374481872641,3.42805208597855,0.000607928809759312,0.00550527931762316,,,,,,,,,,,,,,
Phel_clc_contig_10460,375.101077377932,-2.10057474308747,0.662352925451707,-3.17138290233252,0.00151715020338557,0.0113211997142846,,,,,,,,,,,,,,
Phel_clc_contig_1047,32.201966541821,1.53559014186305,0.483498625967487,3.17599690958855,0.00149322541968384,0.0111959199428067,,,,,,,,,,,,,,
Phel_clc_contig_10477,157.751431081266,-1.22033435076524,0.457276658060688,-2.66870029172424,0.00761453629356337,0.0395909623857823,,,,,,,,,,,,,,
Phel_clc_contig_10487,8.86077135730421,-2.10814648175534,0.812887505361572,-2.59340495191599,0.00950308026487202,0.0467628050566507,,,,,,,,,,,,,,
Phel_clc_contig_1049,326.325987836524,1.5427997384755,0.595695449693618,2.58991358632839,0.00960000268749684,0.0471288789041729,,,,,,,,,,,,,,
Phel_clc_contig_10506,53.6266310301555,1.60784947740952,0.466521507818599,3.44646377597389,0.000567974704793433,0.00521368101762358,,,,,,,,,,,,,,
Phel_clc_contig_10517,241.94410081307,-1.26096746693274,0.414655625310304,-3.04099930150256,0.00235794377805134,0.015934317124685,,,,,,,,,,,,,,
Phel_clc_contig_10524,95.7043977815278,-1.80385163542917,0.703304493858872,-2.56482313305272,0.0103228409734371,0.0497457442009192,,,,,,,,,,,,,,
Phel_clc_contig_10536,78.9872290625936,-1.48248552603721,0.461939672511321,-3.20926219213371,0.00133076079422313,0.0102220454805544,,,,,,,,,,,,,,
Phel_clc_contig_10538,60.5358505771089,1.80086266974809,0.667569786193381,2.69763956816706,0.00698330047281179,0.0368482617717566,,,,,,,,,,,,,,
Phel_clc_contig_1054,1093.66052970445,-1.52348654031315,0.30273811400621,-5.03235790218967,4.84483693668273E-07,1.38202643949887E-05,,,,,,,,,,,,,,
Phel_clc_contig_1056,4973.94066572665,1.37912065827572,0.420474476166995,3.27991527773019,0.00103838264128673,0.00838634128679762,,,,,,,,,,,,,,
Phel_clc_contig_10569,35.9588655696911,1.87317185294065,0.620000119282822,3.02124434283565,0.00251738125310956,0.0167295223622639,,,,,,,,,,,,,,
Phel_clc_contig_10574,34.1873755437792,1.71031549413578,0.574547649574429,2.97680356956053,0.00291270563052577,0.0187864025028806,,,,,,,,,,,,,,
Phel_clc_contig_10582,346.095799245439,-1.19144107847307,0.32003474886359,-3.7228491053042,0.000196987260019482,0.00219423494072355,,,,,,,,,,,,,,
Phel_clc_contig_10583,63.070933200117,-1.41201887881877,0.452405995424893,-3.12113210942889,0.00180157193313701,0.0129360010622313,,,,,,,,,,,,,,
Phel_clc_contig_10590,46.410733564551,3.61204781687806,0.694436603798834,5.2014075829511,1.97784816310314E-07,6.23734461754487E-06,,,,,,,,,,,,,,
Phel_clc_contig_106,1611.30584484532,3.1325837190056,0.610602176753114,5.13031862359737,2.89252150625383E-07,8.75522546595513E-06,Phel_clc_contig_106,sp,P34147,RACA_DICDI,42,600,307,10,161,1891,1,582,3E-148,462
Phel_clc_contig_1060,470.992938897277,4.51126847181846,0.619950166461041,7.27682435762676,3.41769760471474E-13,4.07246789898508E-11,Phel_clc_contig_1060,sp,Q91V92,ACLY_MOUSE,74.69,964,235,4,2,2890,132,1087,0,1500
Phel_clc_contig_10601,167.396010375039,-1.05910694878141,0.321681315077631,-3.2924105291158,0.000993324979600971,0.00810985663093993,,,,,,,,,,,,,,
Phel_clc_contig_10606,127.816562247189,1.44929785705768,0.405697777535208,3.57235838427019,0.000353780804797815,0.0035205949468771,,,,,,,,,,,,,,
Phel_clc_contig_10610,45.1305342917546,2.12015834837567,0.584164506496749,3.62938577198111,0.000284096410418153,0.00295670708620374,,,,,,,,,,,,,,
Phel_clc_contig_10616,88.8870042384233,2.75377602395792,0.590666872617401,4.66214739918493,3.12926929160383E-06,6.8188371473409E-05,,,,,,,,,,,,,,
Phel_clc_contig_1062,253.405508544915,-2.50168010710904,0.513667036529322,-4.87023680556196,1.1146458227083E-06,2.87471738412727E-05,,,,,,,,,,,,,,
Phel_clc_contig_10621,40.697559717985,2.76363575668829,0.492524894833841,5.61115952853639,2.00975383003247E-08,8.37115826504894E-07,,,,,,,,,,,,,,
Phel_clc_contig_10626,313.103585367138,-0.986671500399334,0.327246558197752,-3.0150706728078,0.00256919382978459,0.0170018320679629,Phel_clc_contig_10626,sp,Q4G0U5,PCDP1_HUMAN,37.08,809,446,16,6246,3883,33,799,5E-166,539
Phel_clc_contig_10629,164.732836114922,-1.26759660112501,0.392404572078306,-3.23033086595141,0.00123647037326108,0.00962340955658798,,,,,,,,,,,,,,
Phel_clc_contig_10633,117.379530179325,-1.50350197552984,0.393660359932016,-3.81928720430346,0.000133837860565408,0.00160904559442205,,,,,,,,,,,,,,
Phel_clc_contig_1064,2116.91239455182,1.10821820958063,0.333561224268893,3.3223832056908,0.00089252026999274,0.00744835067515661,Phel_clc_contig_1064,sp,Q9W2N0,CAPZA_DROME,53.41,279,128,1,3300,2470,6,284,2E-103,333
Phel_clc_contig_10640,97.3134342091166,1.22998365694702,0.468622267274377,2.62468035098056,0.00867303468394373,0.0435897554710648,Phel_clc_contig_10640,sp,Q5QJE6,TDIF2_HUMAN,50,178,80,3,1220,702,562,735,3E-47,181
Phel_clc_contig_10643,21.9638395085101,1.4313121350737,0.531685789382366,2.69202631263925,0.007101934187507,0.0373799594487544,,,,,,,,,,,,,,
Phel_clc_contig_10645,889.915728003979,-2.201703187355,0.463603758872589,-4.7491055566702,2.0431828423406E-06,4.7963844604422E-05,,,,,,,,,,,,,,
Phel_clc_contig_1065,7192.96448158613,-3.61537345854215,0.45516352722337,-7.9430210074102,1.97315511311284E-15,3.34671993825005E-13,,,,,,,,,,,,,,
Phel_clc_contig_10654,190.284243090458,-2.25969307222509,0.467751722520147,-4.83096686432355,1.35871617926642E-06,3.41073993427318E-05,Phel_clc_contig_10654,sp,Q5RFI8,PGM2_PONAB,53.59,599,270,3,3820,2048,12,610,0,670
Phel_clc_contig_1067,53.6302633367418,2.28216576794721,0.645589014748457,3.53501332242529,0.000407754599905895,0.00395915206417137,Phel_clc_contig_1067,sp,Q9H3F6,BACD3_HUMAN,71.48,263,68,4,1593,808,28,284,1E-127,386
Phel_clc_contig_10674,64.1148095834534,2.62371743182315,0.569901574640407,4.60380800575723,4.14834924787119E-06,8.74590943893292E-05,Phel_clc_contig_10674,sp,Q9WU22,PTN4_MOUSE,52.6,730,307,13,2693,603,197,920,0,724
Phel_clc_contig_10682,45.6248213484487,1.93796505878621,0.670331464049393,2.89105489257388,0.00383951050355423,0.0231984801830601,,,,,,,,,,,,,,
Phel_clc_contig_10688,45.6236935981632,1.93877949787272,0.536774761691924,3.61190509732918,0.000303955809059358,0.00312027045646703,,,,,,,,,,,,,,
Phel_clc_contig_107,6723.06884459261,2.26666085872127,0.614692682900421,3.68747005093025,0.00022649474098371,0.00246629062377114,Phel_clc_contig_107,sp,Q15485,FCN2_HUMAN,58.33,168,69,1,2,502,146,313,2E-56,205
Phel_clc_contig_1070,2891.0246092111,1.50274101846966,0.50840831193586,2.95577586595249,0.00311883645642926,0.0197936633737235,,,,,,,,,,,,,,
Phel_clc_contig_10702,226.638805623879,-1.46908414108198,0.365042535321152,-4.02441907157348,5.71161306645594E-05,0.000794622744225249,Phel_clc_contig_10702,sp,Q9QX47,SON_MOUSE,60.16,123,49,0,2,370,2314,2436,9E-39,154
Phel_clc_contig_1071,695.160081648422,1.9040571632754,0.494207295838581,3.85275000856586,0.000116798622057386,0.00143535747876919,,,,,,,,,,,,,,
Phel_clc_contig_10714,913.571481908122,-1.27379403654359,0.420994919038685,-3.02567555791936,0.00248078340722364,0.016574062884244,Phel_clc_contig_10714,sp,Q96PB1,CASD1_HUMAN,42.22,765,405,9,3,2255,45,786,0,616
Phel_clc_contig_10716,64.5223094548828,-1.20610102971496,0.388827447108631,-3.10189272563878,0.00192287625813357,0.0135537219437966,,,,,,,,,,,,,,
Phel_clc_contig_10721,36.6929711565848,-1.3994209695988,0.460805746070894,-3.03689999860266,0.00239024739292337,0.0160833408386592,,,,,,,,,,,,,,
Phel_clc_contig_1073,1832.82162841014,1.27864975434431,0.416872207794036,3.06724634177593,0.00216040733803478,0.0148391057837216,,,,,,,,,,,,,,
Phel_clc_contig_1074,1945.78569163951,1.4202957074044,0.48174720466107,2.94821784882726,0.00319611748002671,0.0201376470613499,Phel_clc_contig_1074,sp,Q6NZJ6,IF4G1_MOUSE,39.9,787,391,21,4365,2140,846,1595,3E-123,429
Phel_clc_contig_10750,36.8986953606258,-1.484592164155,0.501153708199608,-2.96234895574929,0.00305301560205256,0.0195102250091466,,,,,,,,,,,,,,
Phel_clc_contig_10758,41.3828754365129,2.06644713582912,0.466294992633359,4.43163055249434,9.352316044327E-06,0.000175200053897059,,,,,,,,,,,,,,
Phel_clc_contig_1076,1753.32245205853,0.879879028391731,0.303269652771888,2.90130918260243,0.00371607025098224,0.0226342460741645,Phel_clc_contig_1076,sp,Q9CZP0,UFSP1_MOUSE,43.46,214,106,5,2131,1499,12,213,2E-48,175
Phel_clc_contig_10762,105.66433345052,-2.46596030407668,0.423189556367479,-5.82708213606138,5.64048556595234E-09,2.63152414379783E-07,,,,,,,,,,,,,,
Phel_clc_contig_10763,25.6222027348972,-1.4349410474806,0.547824893364134,-2.61934253967318,0.0088099434267016,0.044124715321764,,,,,,,,,,,,,,
Phel_clc_contig_10765,25.6884874549351,4.3437375795368,0.681779450195298,6.37117704015942,1.87582952648591E-10,1.30318237989484E-08,Phel_clc_contig_10765,sp,Q689D1,TLR2_CANFA,40,145,78,3,426,1,590,728,6E-24,106
Phel_clc_contig_10766,333.877263451771,-1.23605639509737,0.423160521007113,-2.92101066554032,0.00348897883096304,0.0215862650182521,,,,,,,,,,,,,,
Phel_clc_contig_1077,1568.67385609718,1.58345973254413,0.321059319153322,4.93198495754597,8.13981865837082E-07,2.1614720152489E-05,Phel_clc_contig_1077,sp,A2AVA0,SVEP1_MOUSE,27.26,532,354,16,6723,5140,2673,3175,7E-45,184
Phel_clc_contig_10776,62.6280084138684,2.17523164449169,0.522773326908097,4.16094611666003,3.16931863657804E-05,0.000487091934455958,,,,,,,,,,,,,,
Phel_clc_contig_1078,207.832040910846,-1.30849565976193,0.499357231795948,-2.62035988756165,0.00878370163822246,0.0440401466691916,,,,,,,,,,,,,,
Phel_clc_contig_10782,89.7160695745808,4.10768219989794,0.659093220060805,6.23232355435091,4.5956704039899E-10,2.84614100973414E-08,Phel_clc_contig_10782,sp,Q9NYB5,SO1C1_HUMAN,33.99,659,399,16,372,2291,25,666,1E-104,344
Phel_clc_contig_10785,118.630407352139,-1.93481304868677,0.43389079232006,-4.45921665758593,8.22597380593959E-06,0.000158031029433086,,,,,,,,,,,,,,
Phel_clc_contig_10786,134.681143447575,1.10729192984714,0.356874662359822,3.10274739743419,0.00191733217333147,0.0135349129461236,,,,,,,,,,,,,,
Phel_clc_contig_10788,73.9237761705136,-1.71799943470606,0.520121969671895,-3.30307030827752,0.000956324071786587,0.0078760775588478,,,,,,,,,,,,,,
Phel_clc_contig_10792,27.7910478679964,-1.84887871144965,0.555636612207688,-3.32749619234698,0.000876301867003686,0.00735211018274439,Phel_clc_contig_10792,sp,Q95R48,OCTL_DROME,35.79,461,229,6,2660,1317,71,477,2E-83,288
Phel_clc_contig_10796,238.942536342254,-2.26057284884956,0.388723044756791,-5.81538161768597,6.0495713743727E-09,2.79155098689497E-07,,,,,,,,,,,,,,
Phel_clc_contig_108,30242.0254495891,1.08816106997525,0.411019043010178,2.64747117799188,0.00810962723222198,0.0414553222647416,Phel_clc_contig_108,sp,P20690,DEPA_ASTAM,67.33,150,49,0,365,814,1,150,2E-61,214
Phel_clc_contig_1080,2787.85242483916,2.18611175422794,0.433576856233973,5.04203977402391,4.6059551819129E-07,1.32391325511258E-05,,,,,,,,,,,,,,
Phel_clc_contig_10803,111.946598450179,-1.35987339208028,0.460127783080366,-2.95542551892103,0.00312238077224677,0.0198062880050842,Phel_clc_contig_10803,sp,Q9DFZ4,CHUR_XENLA,51.49,101,48,1,1454,1152,13,112,6E-30,117
Phel_clc_contig_10805,47.2034777717882,-1.6686668519731,0.488063282444339,-3.41895592640367,0.000628619075673301,0.00566268485057476,,,,,,,,,,,,,,
Phel_clc_contig_10809,51.7412269608017,-1.09311386103476,0.423707810990295,-2.5798765863672,0.00988356296865951,0.0481318779128175,,,,,,,,,,,,,,
Phel_clc_contig_1082,925.538929665234,2.7653045943275,0.426261068156141,6.48734965707579,8.73594396050194E-11,6.47526050962087E-09,,,,,,,,,,,,,,
Phel_clc_contig_1085,147.930512018151,1.59941419924405,0.422324564350355,3.78716829248226,0.000152373900654684,0.00178626614422524,Phel_clc_contig_1085,sp,P48601,PRS4_DROME,92.95,397,28,0,255,1445,43,439,0,758
Phel_clc_contig_10858,55.7316692422106,-1.56517088402159,0.469680090103157,-3.33241905927463,0.000860945099012073,0.00724263332399477,,,,,,,,,,,,,,
Phel_clc_contig_10867,14.7587670232493,-2.05458213482343,0.631313271494279,-3.25445737891802,0.00113609206073709,0.00898268513287359,,,,,,,,,,,,,,
Phel_clc_contig_10868,45.3654981686679,1.90810940883066,0.632954512408821,3.01460748193264,0.00257312022051602,0.0170218321825914,,,,,,,,,,,,,,
Phel_clc_contig_10869,33.456312230245,1.59117734734672,0.536571856309728,2.96545062629643,0.0030223985560207,0.0193415015683894,,,,,,,,,,,,,,
Phel_clc_contig_10883,27.8893844561909,2.71354568447641,0.647985879650207,4.18766175266231,2.81843142426118E-05,0.000444782970868107,,,,,,,,,,,,,,
Phel_clc_contig_10888,90.2127282241486,-2.76198159136573,0.459517924971048,-6.01060685834997,1.84830131682989E-09,9.94227682627326E-08,Phel_clc_contig_10888,sp,Q32KI9,ARSI_MOUSE,44.69,508,231,8,335,1798,47,524,9E-131,413
